Index: S&P/TSX Composite Index
Total Number of Constituents: 239
Data as of August 3rd 2019

Constituent Name,Symbol
ARC Resources Ltd.,ARX
ATCO Ltd. Class I Non-voting Shares,ACO.X
ATS Automation Tooling Systems Inc.,ATA
Aecon Group Inc.,ARE
Ag Growth International Inc.,AFN
Agnico Eagle Mines Limited,AEM
Air Canada Voting and Variable Voting Shares,AC
Alacer Gold Corp.,ASR
Alamos Gold Inc.,AGI
Alaris Royalty Corp.,AD
Algonquin Power & Utilities Corp.,AQN
Alimentation Couche-Tard Inc. Class B Subordinate Voting Shares,ATD.B
Allied Properties Real Estate Investment Trust,AP.UN
AltaGas Ltd.,ALA
Altus Group Limited,AIF
Aphria Inc.,APHA
Aritzia Inc. Subordinate Voting Shares,ATZ
Artis Real Estate Investment Trust,AX.UN
Aurora Cannabis Inc.,ACB
B2Gold Corp.,BTO
BCE Inc.,BCE
BRP Inc. Subordinate Voting Shares,DOO
Badger Daylighting Ltd.,BAD
Bank of Montreal,BMO
Bank of Nova Scotia (The),BNS
Barrick Gold Corporation,ABX
Bausch Health Companies Inc.,BHC
Baytex Energy Corp.,BTE
Birchcliff Energy Ltd.,BIR
BlackBerry Limited,BB
Boardwalk Real Estate Investment Trust,BEI.UN
Bombardier Inc. Class B Subordinate Voting Shares,BBD.B
Boralex Inc. Class A Shares,BLX
Boyd Group Income Fund,BYD.UN
Brookfield Asset Management Inc. Class A Limited Voting Shares,BAM.A
Brookfield Business Partners L.P.,BBU.UN
Brookfield Infrastructure Partners L.P.,BIP.UN
Brookfield Property Partners L.P.,BPY.UN
Brookfield Renewable Partners L.P.,BEP.UN
CAE Inc.,CAE
CCL Industries Inc. Unlimited Class B Non-Voting Shares,CCL.B
CGI Inc. Class A Subordinate  Voting Shares,GIB.A
CI Financial Corp.,CIX
Cameco Corporation,CCO
Canada Goose Holdings Inc. Subordinate Voting Shares,GOOS
Canadian Apartment Properties Real Estate Investment Trust,CAR.UN
Canadian Imperial Bank Of Commerce,CM
Canadian National Railway Company,CNR
Canadian Natural Resources Limited,CNQ
Canadian Pacific Railway Limited,CP
Canadian Tire Corporation Limited Class A Non-Voting Shares,CTC.A
Canadian Utilities Limited Class A Non-Voting Shares,CU
Canadian Western Bank,CWB
Canfor Corporation,CFP
CannTrust Holdings Inc.,TRST
Canopy Growth Corporation,WEED
Capital Power Corporation,CPX
Cargojet Inc. Common and Variable Voting Shares,CJT
Cascades Inc.,CAS
Celestica Inc. Subordinate Voting Shares,CLS
Cenovus Energy Inc.,CVE
Centerra Gold Inc.,CG
Chartwell Retirement Residences,CSH.UN
Chemtrade Logistics Income Fund,CHE.UN
Choice Properties Real Estate Investment Trust,CHP.UN
Chorus Aviation Inc. Voting and Variable Voting Shares,CHR
Cineplex Inc.,CGX
Cogeco Communications Inc. Subordinate Voting Shares,CCA
Colliers International Group Inc. Subordinate Voting Shares,CIGI
Cominar Real Estate Investment Trust,CUF.UN
Constellation Software Inc.,CSU
Cott Corporation,BCB
Crescent Point Energy Corp.,CPG
Crombie Real Estate Investment Trust,CRR.UN
Cronos Group Inc.,CRON
Descartes Systems Group Inc. (The),DSG
Detour Gold Corporation,DGC
Dollarama Inc.,DOL
Dream Global Real Estate Investment Trust,DRG.UN
Dream Industrial Real Estate Investment Trust,DIR.UN
Dream Office Real Estate Investment Trust,D.UN
ECN Capital Corp.,ECN
Eldorado Gold Corporation,ELD
Element Fleet Management Corp.,EFN
Emera Incorporated,EMA
Empire Company Limited Non-Voting Class A Shares,EMP.A
Enbridge Inc.,ENB
Encana Corporation,ECA
Endeavour Mining Corporation Ordinary Shares,EDV
Enerflex Ltd.,EFX
Enerplus Corporation,ERF
Enghouse Systems Limited,ENGH
Ensign Energy Services Inc.,ESI
Ero Copper Corp.,ERO
Exchange Income Corporation,EIF
Extendicare Inc.,EXE
Fairfax Financial Holdings Limited Subordinate Voting Shares,FFH
Finning International Inc.,FTT
First Capital Realty Inc.,FCR
First Majestic Silver Corp.,FR
First Quantum Minerals Ltd.,FM
FirstService Corporation Common Shares,FSV
Fortis Inc.,FTS
Franco-Nevada Corporation,FNV
Freehold Royalties Ltd.,FRU
Frontera Energy Corporation,FEC
Genworth MI Canada Inc.,MIC
George Weston Limited,WN
Gibson Energy Inc.,GEI
Gildan Activewear Inc.,GIL
Gran Tierra Energy Inc.,GTE
Granite Real Estate Investment Trust,GRT.UN
Great Canadian Gaming Corporation,GC
Great-West Lifeco Inc.,GWO
H&R Real Estate Investment Trust,HR.UN
HEXO Corp.,HEXO
Home Capital Group Inc.,HCG
Hudbay Minerals Inc.,HBM
Hudson's Bay Company,HBC
Husky Energy Inc.,HSE
Hydro One Limited,H
IAMGOLD Corporation,IMG
IGM Financial Inc.,IGM
Imperial Oil Limited,IMO
Innergex Renewable Energy Inc.,INE
Intact Financial Corporation,IFC
Inter Pipeline Ltd.,IPL
InterRent Real Estate Investment Trust,IIP.UN
Interfor Corporation,IFP
Intertape Polymer Group Inc.,ITP
Ivanhoe Mines Ltd.,IVN
Kelt Exploration Ltd.,KEL
Keyera Corp.,KEY
Killam Apartment Real Estate Investment Trust,KMP.UN
Kinaxis Inc.,KXS
Kinross Gold Corporation,K
Kirkland Lake Gold Ltd.,KL
Knight Therapeutics Inc.,GUD
Labrador Iron Ore Royalty Corporation,LIF
Laurentian Bank of Canada,LB
Linamar Corporation,LNR
Loblaw Companies Limited,L
Lundin Mining Corporation,LUN
MAG Silver Corp.,MAG
MEG Energy Corp.,MEG
MTY Food Group Inc.,MTY
Magna International Inc.,MG
Manulife Financial Corporation,MFC
Maple Leaf Foods Inc.,MFI
Martinrea International Inc.,MRE
Methanex Corporation,MX
Metro Inc.,MRU
Morneau Shepell Inc.,MSI
Mullen Group Ltd.,MTL
NFI Group Inc.,NFI
National Bank of Canada,NA
NexGen Energy Ltd.,NXE
Norbord Inc.,OSB
NorthWest Healthcare Properties Real Estate Investment Trust,NWH.UN
Northland Power Inc.,NPI
Northview Apartment Real Estate Investment Trust,NVU.UN
NovaGold Resources Inc.,NG
NuVista Energy Ltd.,NVA
Nutrien Ltd.,NTR
ONEX Corporation Subordinate Voting Shares,ONEX
OceanaGold Corporation,OGC
Open Text Corporation,OTEX
Osisko Gold Royalties Ltd,OR
Pan American Silver Corp.,PAAS
Parex Resources Inc.,PXT
Parkland Fuel Corporation,PKI
Pason Systems Inc.,PSI
Pembina Pipeline Corporation,PPL
Peyto Exploration & Development Corp.,PEY
Power Corporation of Canada Subordinate Voting Shares,POW
Power Financial Corporation,PWF
PrairieSky Royalty Ltd.,PSK
Precision Drilling Corporation,PD
Premium Brands Holdings Corporation,PBH
Pretium Resources Inc.,PVG
Quebecor Inc. Class B Subordinate Voting Shares,QBR.B
Restaurant Brands International Inc.,QSR
Richelieu Hardware Ltd.,RCH
RioCan Real Estate Investment Trust,REI.UN
Ritchie Bros. Auctioneers Incorporated,RBA
Rogers Communications Inc. Class B Non-voting Shares,RCI.B
Royal Bank of Canada,RY
Russel Metals Inc.,RUS
SNC-Lavalin Group Inc.,SNC
SSR Mining Inc.,SSRM
Sandstorm Gold Ltd.,SSL
Saputo Inc.,SAP
Secure Energy Services Inc.,SES
Semafo Inc.,SMF
Seven Generations Energy Ltd. class A common shares,VII
Shaw Communications Inc. Class B Non-voting Shares,SJR.B
ShawCor Ltd.,SCL
Shopify Inc. Class A Subordinate Voting Shares,SHOP
Sienna Senior Living Inc.,SIA
Sierra Wireless Inc.,SW
Sleep Country Canada Holdings Inc.,ZZZ
SmartCentres Real Estate Investment Trust,SRU.UN
Spin Master Corp. Subordinate Voting Shares,TOY
Stantec Inc.,STN
Stella-Jones Inc.,SJ
Summit Industrial Income REIT,SMU.UN
Sun Life Financial Inc.,SLF
Suncor Energy Inc.,SU
Superior Plus Corp.,SPB
TC Energy Corporation,TRP
TELUS Corporation,T
